Tahun,Kabupaten/Kota,WPP,Volume Produksi (Ton),Nilai Produksi (Rp 000),Provinsi,Kelompok,Jenis Ikan;
2023,ASAHAN,WPP-RI-571,1951.44,29271600,SUMATERA UTARA,KURISI,KERISI;
2023,ASAHAN,WPP-RI-571,1099.00,49454910,SUMATERA UTARA,KURO,KURO; SENANGIN
2023,ASAHAN,WPP-RI-571,2417.26,24172590,SUMATERA UTARA,LEMURU,SIRO;
2023,ASAHAN,WPP-RI-571,2562.72,89695340,SUMATERA UTARA,LIDAH,LIDAH;
2023,ASAHAN,WPP-RI-571,2141.30,85652040,SUMATERA UTARA,MANYUNG,MANYUNG BESAR;
2023,ASAHAN,WPP-RI-571,952.93,38117000,SUMATERA UTARA,PARI,PARI BURUNG;
2023,ASAHAN,WPP-RI-571,982.90,39315880,SUMATERA UTARA,PARI,PARI DURI;
2023,ASAHAN,WPP-RI-571,2062.51,144375420,SUMATERA UTARA,RAJUNGAN,RAJUNGAN;
2023,ASAHAN,WPP-RI-571,2179.04,41494406,SUMATERA UTARA,SELAR,SELAR KUNING;
2023,ASAHAN,WPP-RI-571,2733.16,45346173,SUMATERA UTARA,SELAR,TETENGKEK;
2023,ASAHAN,WPP-RI-571,2600.85,91029785,SUMATERA UTARA,SEMBILANG,SEMBILANG BETUL;
2023,ASAHAN,WPP-RI-571,2239.11,40303998,SUMATERA UTARA,TONGKOL,TONGKOL ABU-ABU;
2023,ASAHAN,WPP-RI-571,1567.44,70534710,SUMATERA UTARA,UDANG,UDANG HARIMAU;
2023,ASAHAN,WPP-RI-571,1740.73,78332670,SUMATERA UTARA,UDANG,UDANG JERBUNG;
2023,ASAHAN,WPP-RI-571,1518.46,75923100,SUMATERA UTARA,UDANG,UDANG PUTIH; UDANG API-API
2023,BANYUASIN,WPP-RI-711,460.86,19792185,SUMATERA SELATAN,BAWAL,BAWAL HITAM;
2023,BANYUASIN,WPP-RI-711,459.79,91035550,SUMATERA SELATAN,BAWAL,BAWAL PUTIH;
